age,value_eur,international_reputation,pace,shooting,passing,dribbling,physic,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,skill_dribbling,skill_ball_control,movement_agility,movement_reactions,movement_balance,power_long_shots,mentality_positioning,mentality_penalties,mentality_composure,overall
32,95500000,5,90.0,93.0,82.0,90.0,80.0,95,91,83,92,93,90,96,63,94,96,85,104.0,93
32,95500000,5,90.0,93.0,82.0,90.0,80.0,95,91,83,92,93,90,96,63,94,96,85,104.0,94
32,95500000,5,90.0,93.0,82.0,90.0,80.0,95,91,83,92,93,90,96,63,94,96,85,104.0,94
32,95500000,5,90.0,93.0,82.0,90.0,80.0,95,91,83,92,93,90,96,63,94,96,85,104.0,94
32,95500000,5,90.0,93.0,82.0,90.0,80.0,95,91,83,92,93,90,96,63,94,96,85,104.0,93
33,77000000,5,90.0,93.0,81.0,89.0,79.0,94,89,81,88,94,87,96,70,93,95,85,95.0,93
33,77000000,5,90.0,93.0,81.0,89.0,79.0,94,89,81,88,94,87,96,70,93,95,85,95.0,94
33,77000000,5,90.0,93.0,81.0,89.0,79.0,94,89,81,88,94,87,96,70,93,95,85,95.0,94
33,77000000,5,90.0,93.0,81.0,89.0,79.0,94,89,81,88,94,87,96,70,93,95,85,95.0,94
33,77000000,5,90.0,93.0,81.0,89.0,79.0,94,89,81,88,94,87,96,70,93,95,85,95.0,93
34,58500000,5,90.0,93.0,82.0,89.0,78.0,94,89,83,89,92,87,96,71,93,95,85,95.0,93
34,58500000,5,90.0,93.0,82.0,89.0,78.0,94,89,83,89,92,87,96,71,93,95,85,95.0,94
34,58500000,5,90.0,93.0,82.0,89.0,78.0,94,89,83,89,92,87,96,71,93,95,85,95.0,94
34,58500000,5,90.0,93.0,82.0,89.0,78.0,94,89,83,89,92,87,96,71,93,95,85,95.0,94
34,58500000,5,90.0,93.0,82.0,89.0,78.0,94,89,83,89,92,87,96,71,93,95,85,95.0,93
35,650000,1,66.0,73.0,60.0,71.0,76.0,73,77,65,71,71,78,63,64,75,75,75,0.0,71
35,70000,1,66.0,60.0,53.0,63.0,41.0,64,58,57,60,60,77,57,88,55,57,62,56.0,59
35,70000,1,66.0,60.0,53.0,63.0,41.0,64,58,57,60,60,77,57,88,55,57,62,56.0,57
35,70000,1,66.0,60.0,53.0,63.0,41.0,64,58,57,60,60,77,57,88,55,57,62,56.0,56
36,40000,1,52.0,58.0,53.0,61.0,42.0,60,56,57,59,60,67,55,85,55,56,60,56.0,59
36,40000,1,52.0,58.0,53.0,61.0,42.0,60,56,57,59,60,67,55,85,55,56,60,56.0,57
36,40000,1,52.0,58.0,53.0,61.0,42.0,60,56,57,59,60,67,55,85,55,56,60,56.0,56
37,30000,1,46.0,58.0,55.0,61.0,45.0,60,56,57,59,60,68,55,87,55,56,63,56.0,59
37,30000,1,46.0,58.0,55.0,61.0,45.0,60,56,57,59,60,68,55,87,55,56,63,56.0,57
37,30000,1,46.0,58.0,55.0,61.0,45.0,60,56,57,59,60,68,55,87,55,56,63,56.0,56
38,850000,3,34.0,79.0,55.0,61.0,66.0,88,90,75,63,75,34,84,34,78,91,82,0.0,77
37,1300000,3,46.0,80.0,71.0,76.0,69.0,86,80,76,77,82,67,81,55,75,91,81,85.0,79
37,1300000,3,46.0,80.0,71.0,76.0,69.0,86,80,76,77,82,67,81,55,75,91,81,85.0,74
37,1300000,3,46.0,80.0,71.0,76.0,69.0,86,80,76,77,82,67,81,55,75,91,81,85.0,75
39,1600000,3,36.0,76.0,72.0,74.0,68.0,78,76,75,76,78,65,77,54,70,81,81,86.0,79
39,1600000,3,36.0,76.0,72.0,74.0,68.0,78,76,75,76,78,65,77,54,70,81,81,86.0,74
39,1600000,3,36.0,76.0,72.0,74.0,68.0,78,76,75,76,78,65,77,54,70,81,81,86.0,75
40,0,3,34.0,77.0,73.0,75.0,64.0,79,77,77,76,78,65,78,54,73,81,81,87.0,79
40,0,3,34.0,77.0,73.0,75.0,64.0,79,77,77,76,78,65,78,54,73,81,81,87.0,74
40,0,3,34.0,77.0,73.0,75.0,64.0,79,77,77,76,78,65,78,54,73,81,81,87.0,75
33,2700000,3,49.0,73.0,62.0,66.0,71.0,76,81,74,66,77,56,79,48,63,83,63,0.0,75
33,2700000,3,49.0,73.0,62.0,66.0,71.0,76,81,74,66,77,56,79,48,63,83,63,0.0,73
34,0,3,34.0,72.0,61.0,62.0,66.0,75,78,73,65,76,47,77,48,62,80,62,76.0,75
34,0,3,34.0,72.0,61.0,62.0,66.0,75,78,73,65,76,47,77,48,62,80,62,76.0,73
33,550000,1,76.0,60.0,63.0,71.0,51.0,60,37,63,72,68,77,61,74,55,67,61,65.0,68
37,2100000,3,63.0,83.0,74.0,76.0,78.0,83,88,74,77,80,63,75,66,80,83,84,0.0,81
37,2100000,3,63.0,83.0,74.0,76.0,78.0,83,88,74,77,80,63,75,66,80,83,84,0.0,81
38,2100000,3,66.0,82.0,69.0,75.0,79.0,82,85,66,75,81,63,80,56,79,81,84,86.0,81
38,2100000,3,66.0,82.0,69.0,75.0,79.0,82,85,66,75,81,63,80,56,79,81,84,86.0,81
41,0,1,39.0,70.0,52.0,56.0,62.0,72,84,53,51,65,62,53,57,66,77,61,0.0,66
32,1700000,2,75.0,74.0,68.0,73.0,67.0,74,72,71,73,77,72,69,72,74,81,77,0.0,72
32,1700000,2,75.0,74.0,68.0,73.0,67.0,74,72,71,73,77,72,69,72,74,81,77,0.0,73
32,1700000,2,75.0,74.0,68.0,73.0,67.0,74,72,71,73,77,72,69,72,74,81,77,0.0,72
33,1900000,2,74.0,74.0,67.0,75.0,67.0,75,71,70,80,76,72,68,72,73,86,74,75.0,72
33,1900000,2,74.0,74.0,67.0,75.0,67.0,75,71,70,80,76,72,68,72,73,86,74,75.0,73
33,1900000,2,74.0,74.0,67.0,75.0,67.0,75,71,70,80,76,72,68,72,73,86,74,75.0,72
34,1600000,2,75.0,71.0,67.0,73.0,65.0,72,69,68,73,75,74,68,72,68,78,74,76.0,72
34,1600000,2,75.0,71.0,67.0,73.0,65.0,72,69,68,73,75,74,68,72,68,78,74,76.0,73
34,1600000,2,75.0,71.0,67.0,73.0,65.0,72,69,68,73,75,74,68,72,68,78,74,76.0,72
35,210000,2,42.0,63.0,52.0,60.0,69.0,68,67,58,61,65,53,73,49,60,70,74,71.0,64
33,40500000,5,73.0,90.0,81.0,85.0,86.0,90,76,84,87,90,86,85,41,88,86,91,0.0,89
33,40500000,5,73.0,90.0,81.0,85.0,86.0,90,76,84,87,90,86,85,41,88,86,91,0.0,90
33,40500000,5,73.0,90.0,81.0,85.0,86.0,90,76,84,87,90,86,85,41,88,86,91,0.0,88
33,40500000,5,73.0,90.0,81.0,85.0,86.0,90,76,84,87,90,86,85,41,88,86,91,0.0,85
33,40500000,5,73.0,90.0,81.0,85.0,86.0,90,76,84,87,90,86,85,41,88,86,91,0.0,85
34,36500000,5,72.0,90.0,81.0,85.0,86.0,90,76,84,87,90,86,85,41,88,86,91,91.0,89
34,36500000,5,72.0,90.0,81.0,85.0,86.0,90,76,84,87,90,86,85,41,88,86,91,91.0,90
34,36500000,5,72.0,90.0,81.0,85.0,86.0,90,76,84,87,90,86,85,41,88,86,91,91.0,88
34,36500000,5,72.0,90.0,81.0,85.0,86.0,90,76,84,87,90,86,85,41,88,86,91,91.0,85
34,36500000,5,72.0,90.0,81.0,85.0,86.0,90,76,84,87,90,86,85,41,88,86,91,91.0,85
35,27000000,5,65.0,88.0,81.0,82.0,82.0,90,80,84,85,90,86,87,41,88,86,91,91.0,89
