value_eur,international_reputation,skill_moves,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,skill_dribbling,movement_reactions,mentality_positioning,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,goalkeeping_diving,goalkeeping_positioning,work_rate_rank,overall
9000000,4,1,85.0,79.0,71.0,83.0,46.0,89.0,25,30,78,25,35,0.0,25,25,86,90,4,88
9000000,4,1,85.0,79.0,71.0,83.0,46.0,89.0,25,30,78,25,35,0.0,25,25,86,90,4,83
9000000,4,1,87.0,88.0,68.0,84.0,46.0,90.0,13,27,84,14,22,80.0,10,11,89,91,4,84
9000000,4,1,87.0,88.0,68.0,84.0,46.0,90.0,13,27,84,14,22,80.0,10,11,89,91,4,88
9000000,4,1,87.0,88.0,68.0,84.0,46.0,90.0,13,27,84,14,22,80.0,10,11,89,91,4,89
9000000,4,1,87.0,88.0,68.0,84.0,46.0,90.0,13,27,84,14,22,80.0,10,11,89,91,4,88
9000000,4,1,87.0,88.0,68.0,84.0,46.0,90.0,13,27,84,14,22,80.0,10,11,89,91,4,83
4500000,4,1,89.0,88.0,74.0,84.0,46.0,90.0,13,26,80,12,22,80.0,10,11,91,90,4,84
4500000,4,1,89.0,88.0,74.0,84.0,46.0,90.0,13,26,80,12,22,80.0,10,11,91,90,4,88
4500000,4,1,89.0,88.0,74.0,84.0,46.0,90.0,13,26,80,12,22,80.0,10,11,91,90,4,89
4500000,4,1,89.0,88.0,74.0,84.0,46.0,90.0,13,26,80,12,22,80.0,10,11,91,90,4,88
4500000,4,1,89.0,88.0,74.0,84.0,46.0,90.0,13,26,80,12,22,80.0,10,11,91,90,4,83
4000000,4,1,88.0,87.0,74.0,83.0,46.0,90.0,13,26,79,12,22,70.0,13,11,88,90,4,84
4000000,4,1,88.0,87.0,74.0,83.0,46.0,90.0,13,26,79,12,22,70.0,13,11,88,90,4,88
4000000,4,1,88.0,87.0,74.0,83.0,46.0,90.0,13,26,79,12,22,70.0,13,11,88,90,4,89
4000000,4,1,88.0,87.0,74.0,83.0,46.0,90.0,13,26,79,12,22,70.0,13,11,88,90,4,88
4000000,4,1,88.0,87.0,74.0,83.0,46.0,90.0,13,26,79,12,22,70.0,13,11,88,90,4,83
2600000,4,1,78.0,77.0,74.0,80.0,33.0,91.0,13,26,80,12,22,70.0,13,11,78,91,4,84
2600000,4,1,78.0,77.0,74.0,80.0,33.0,91.0,13,26,80,12,22,70.0,13,11,78,91,4,88
2600000,4,1,78.0,77.0,74.0,80.0,33.0,91.0,13,26,80,12,22,70.0,13,11,78,91,4,89
2600000,4,1,78.0,77.0,74.0,80.0,33.0,91.0,13,26,80,12,22,70.0,13,11,78,91,4,88
2600000,4,1,78.0,77.0,74.0,80.0,33.0,91.0,13,26,80,12,22,70.0,13,11,78,91,4,83
2100000,2,1,80.0,72.0,66.0,80.0,38.0,82.0,25,25,70,25,32,0.0,25,25,81,83,4,77
5000000,2,1,81.0,75.0,82.0,79.0,41.0,76.0,25,25,74,25,24,0.0,25,25,82,77,4,77
5000000,2,1,81.0,75.0,82.0,79.0,41.0,76.0,25,25,74,25,24,0.0,25,25,82,77,4,76
5000000,2,1,81.0,75.0,82.0,79.0,41.0,76.0,25,25,74,25,24,0.0,25,25,82,77,4,75
5000000,2,1,81.0,75.0,82.0,79.0,41.0,76.0,25,25,74,25,24,0.0,25,25,82,77,4,73
5000000,2,1,81.0,75.0,82.0,79.0,41.0,76.0,25,25,74,25,24,0.0,25,25,82,77,4,73
3800000,2,1,78.0,73.0,81.0,76.0,41.0,74.0,18,12,73,13,23,63.0,18,15,79,74,4,77
3800000,2,1,78.0,73.0,81.0,76.0,41.0,74.0,18,12,73,13,23,63.0,18,15,79,74,4,76
3800000,2,1,78.0,73.0,81.0,76.0,41.0,74.0,18,12,73,13,23,63.0,18,15,79,74,4,75
3800000,2,1,78.0,73.0,81.0,76.0,41.0,74.0,18,12,73,13,23,63.0,18,15,79,74,4,73
3800000,2,1,78.0,73.0,81.0,76.0,41.0,74.0,18,12,73,13,23,63.0,18,15,79,74,4,73
2700000,2,1,76.0,73.0,79.0,75.0,41.0,72.0,18,12,73,13,23,63.0,18,15,78,74,4,77
2700000,2,1,76.0,73.0,79.0,75.0,41.0,72.0,18,12,73,13,23,63.0,18,15,78,74,4,76
2700000,2,1,76.0,73.0,79.0,75.0,41.0,72.0,18,12,73,13,23,63.0,18,15,78,74,4,75
2700000,2,1,76.0,73.0,79.0,75.0,41.0,72.0,18,12,73,13,23,63.0,18,15,78,74,4,73
2700000,2,1,76.0,73.0,79.0,75.0,41.0,72.0,18,12,73,13,23,63.0,18,15,78,74,4,73
950000,2,1,74.0,72.0,76.0,72.0,33.0,71.0,18,12,72,12,23,59.0,9,15,74,71,4,77
950000,2,1,74.0,72.0,76.0,72.0,33.0,71.0,18,12,72,12,23,59.0,9,15,74,71,4,76
950000,2,1,74.0,72.0,76.0,72.0,33.0,71.0,18,12,72,12,23,59.0,9,15,74,71,4,75
950000,2,1,74.0,72.0,76.0,72.0,33.0,71.0,18,12,72,12,23,59.0,9,15,74,71,4,73
950000,2,1,74.0,72.0,76.0,72.0,33.0,71.0,18,12,72,12,23,59.0,9,15,74,71,4,73
675000,2,1,71.0,72.0,76.0,73.0,33.0,73.0,18,12,72,12,23,59.0,9,15,71,73,4,77
675000,2,1,71.0,72.0,76.0,73.0,33.0,73.0,18,12,72,12,23,59.0,9,15,71,73,4,76
675000,2,1,71.0,72.0,76.0,73.0,33.0,73.0,18,12,72,12,23,59.0,9,15,71,73,4,75
675000,2,1,71.0,72.0,76.0,73.0,33.0,73.0,18,12,72,12,23,59.0,9,15,71,73,4,73
675000,2,1,71.0,72.0,76.0,73.0,33.0,73.0,18,12,72,12,23,59.0,9,15,71,73,4,73
6500000,3,1,79.0,81.0,53.0,77.0,23.0,79.0,25,25,83,25,29,0.0,25,25,81,79,4,79
6500000,3,1,79.0,81.0,53.0,77.0,23.0,79.0,25,25,83,25,29,0.0,25,25,81,79,4,78
6500000,3,1,79.0,81.0,53.0,77.0,23.0,79.0,25,25,83,25,29,0.0,25,25,81,79,4,77
4900000,2,1,76.0,81.0,53.0,77.0,23.0,81.0,14,12,78,8,17,58.0,11,17,79,83,4,79
4900000,2,1,76.0,81.0,53.0,77.0,23.0,81.0,14,12,78,8,17,58.0,11,17,79,83,4,78
4900000,2,1,76.0,81.0,53.0,77.0,23.0,81.0,14,12,78,8,17,58.0,11,17,79,83,4,77
1200000,2,1,72.0,80.0,53.0,77.0,22.0,81.0,14,12,76,8,17,62.0,11,17,72,81,4,79
1200000,2,1,72.0,80.0,53.0,77.0,22.0,81.0,14,12,76,8,17,62.0,11,17,72,81,4,78
1200000,2,1,72.0,80.0,53.0,77.0,22.0,81.0,14,12,76,8,17,62.0,11,17,72,81,4,77
700000,2,1,72.0,73.0,72.0,75.0,44.0,79.0,25,25,75,25,45,0.0,25,25,73,80,4,75
700000,2,1,72.0,73.0,72.0,75.0,44.0,79.0,25,25,75,25,45,0.0,25,25,73,80,4,75
700000,2,1,71.0,73.0,72.0,74.0,42.0,79.0,12,13,74,13,44,67.0,14,11,71,79,4,75
700000,2,1,71.0,73.0,72.0,74.0,42.0,79.0,12,13,74,13,44,67.0,14,11,71,79,4,75
1900000,1,1,74.0,75.0,68.0,72.0,51.0,72.0,19,17,67,14,11,44.0,12,10,74,72,4,73
1900000,1,1,74.0,75.0,68.0,72.0,51.0,72.0,19,17,67,14,11,44.0,12,10,74,72,4,72
725000,1,1,73.0,73.0,64.0,72.0,51.0,71.0,19,17,69,14,11,44.0,12,10,74,72,4,73
725000,1,1,73.0,73.0,64.0,72.0,51.0,71.0,19,17,69,14,11,44.0,12,10,74,72,4,72
160000,1,1,62.0,64.0,53.0,62.0,28.0,63.0,25,25,65,25,25,0.0,25,25,64,64,4,62
160000,1,1,62.0,64.0,53.0,62.0,28.0,63.0,25,25,65,25,25,0.0,25,25,64,64,4,60
160000,1,1,62.0,64.0,53.0,62.0,28.0,63.0,25,25,65,25,25,0.0,25,25,64,64,4,58
80000,1,1,56.0,64.0,53.0,58.0,28.0,58.0,12,15,63,16,14,66.0,13,15,62,63,4,62
80000,1,1,56.0,64.0,53.0,58.0,28.0,58.0,12,15,63,16,14,66.0,13,15,62,63,4,60
80000,1,1,56.0,64.0,53.0,58.0,28.0,58.0,12,15,63,16,14,66.0,13,15,62,63,4,58
10000,1,1,55.0,60.0,53.0,57.0,28.0,56.0,12,15,63,16,14,66.0,13,15,55,56,4,62
10000,1,1,55.0,60.0,53.0,57.0,28.0,56.0,12,15,63,16,14,66.0,13,15,55,56,4,60
10000,1,1,55.0,60.0,53.0,57.0,28.0,56.0,12,15,63,16,14,66.0,13,15,55,56,4,58
1700000,2,1,78.0,78.0,57.0,82.0,38.0,83.0,25,25,81,25,30,0.0,25,25,79,84,4,79
1700000,2,1,78.0,78.0,57.0,82.0,38.0,83.0,25,25,81,25,30,0.0,25,25,79,84,4,78
1400000,2,1,78.0,77.0,57.0,78.0,38.0,83.0,10,12,74,12,21,44.0,14,10,78,83,4,79
1400000,2,1,78.0,77.0,57.0,78.0,38.0,83.0,10,12,74,12,21,44.0,14,10,78,83,4,78
950000,1,1,70.0,71.0,69.0,74.0,41.0,73.0,25,25,67,25,32,0.0,25,25,71,74,4,71
270000,1,1,68.0,67.0,71.0,67.0,28.0,69.0,25,25,66,25,25,0.0,25,25,68,69,4,68
19000000,4,1,87.0,79.0,67.0,88.0,64.0,79.0,25,25,80,25,24,0.0,25,25,87,79,4,84
19000000,4,1,87.0,79.0,67.0,88.0,64.0,79.0,25,25,80,25,24,0.0,25,25,87,79,4,82
19000000,4,1,87.0,79.0,67.0,88.0,64.0,79.0,25,25,80,25,24,0.0,25,25,87,79,4,83
19000000,4,1,87.0,79.0,67.0,88.0,64.0,79.0,25,25,80,25,24,0.0,25,25,87,79,4,82
19000000,4,1,87.0,79.0,67.0,88.0,64.0,79.0,25,25,80,25,24,0.0,25,25,87,79,4,83
11500000,4,1,85.0,73.0,58.0,86.0,64.0,80.0,13,25,78,16,24,70.0,11,11,86,81,4,84
11500000,4,1,85.0,73.0,58.0,86.0,64.0,80.0,13,25,78,16,24,70.0,11,11,86,81,4,82
11500000,4,1,85.0,73.0,58.0,86.0,64.0,80.0,13,25,78,16,24,70.0,11,11,86,81,4,83
11500000,4,1,85.0,73.0,58.0,86.0,64.0,80.0,13,25,78,16,24,70.0,11,11,86,81,4,82
11500000,4,1,85.0,73.0,58.0,86.0,64.0,80.0,13,25,78,16,24,70.0,11,11,86,81,4,83
3500000,4,1,86.0,74.0,58.0,85.0,58.0,80.0,13,25,77,16,24,70.0,11,11,86,80,4,84
3500000,4,1,86.0,74.0,58.0,85.0,58.0,80.0,13,25,77,16,24,70.0,11,11,86,80,4,82
3500000,4,1,86.0,74.0,58.0,85.0,58.0,80.0,13,25,77,16,24,70.0,11,11,86,80,4,83
3500000,4,1,86.0,74.0,58.0,85.0,58.0,80.0,13,25,77,16,24,70.0,11,11,86,80,4,82
3500000,4,1,86.0,74.0,58.0,85.0,58.0,80.0,13,25,77,16,24,70.0,11,11,86,80,4,83
1500000,4,1,87.0,74.0,58.0,84.0,58.0,82.0,13,25,77,16,24,70.0,24,11,87,82,4,84
1500000,4,1,87.0,74.0,58.0,84.0,58.0,82.0,13,25,77,16,24,70.0,24,11,87,82,4,82
1500000,4,1,87.0,74.0,58.0,84.0,58.0,82.0,13,25,77,16,24,70.0,24,11,87,82,4,83
1500000,4,1,87.0,74.0,58.0,84.0,58.0,82.0,13,25,77,16,24,70.0,24,11,87,82,4,82
1500000,4,1,87.0,74.0,58.0,84.0,58.0,82.0,13,25,77,16,24,70.0,24,11,87,82,4,83
2600000,4,1,85.0,75.0,61.0,84.0,55.0,86.0,13,25,79,16,24,70.0,24,11,85,86,4,84
2600000,4,1,85.0,75.0,61.0,84.0,55.0,86.0,13,25,79,16,24,70.0,24,11,85,86,4,82
2600000,4,1,85.0,75.0,61.0,84.0,55.0,86.0,13,25,79,16,24,70.0,24,11,85,86,4,83
2600000,4,1,85.0,75.0,61.0,84.0,55.0,86.0,13,25,79,16,24,70.0,24,11,85,86,4,82
2600000,4,1,85.0,75.0,61.0,84.0,55.0,86.0,13,25,79,16,24,70.0,24,11,85,86,4,83
3100000,2,1,78.0,75.0,76.0,78.0,37.0,76.0,25,25,80,25,24,0.0,25,25,86,78,4,76
3100000,2,1,78.0,75.0,76.0,78.0,37.0,76.0,25,25,80,25,24,0.0,25,25,86,78,4,77
3100000,2,1,78.0,75.0,76.0,78.0,37.0,76.0,25,25,80,25,24,0.0,25,25,86,78,4,76
3100000,2,1,78.0,75.0,76.0,78.0,37.0,76.0,10,12,70,16,23,20.0,12,11,78,76,4,76
3100000,2,1,78.0,75.0,76.0,78.0,37.0,76.0,10,12,70,16,23,20.0,12,11,78,76,4,77
3100000,2,1,78.0,75.0,76.0,78.0,37.0,76.0,10,12,70,16,23,20.0,12,11,78,76,4,76
525000,2,1,75.0,76.0,77.0,77.0,37.0,76.0,10,12,70,16,23,20.0,12,11,77,76,4,76
525000,2,1,75.0,76.0,77.0,77.0,37.0,76.0,10,12,70,16,23,20.0,12,11,77,76,4,77
525000,2,1,75.0,76.0,77.0,77.0,37.0,76.0,10,12,70,16,23,20.0,12,11,77,76,4,76
120000,1,1,66.0,70.0,61.0,64.0,30.0,70.0,25,15,57,10,39,43.0,24,37,66,70,4,67
350000,2,1,72.0,72.0,64.0,74.0,40.0,72.0,25,25,77,25,25,0.0,25,25,73,73,4,72
350000,2,1,72.0,72.0,64.0,74.0,40.0,72.0,25,25,77,25,25,0.0,25,25,73,73,4,73
500000,2,1,72.0,72.0,53.0,74.0,40.0,72.0,12,13,76,9,17,62.0,11,14,72,72,4,72
500000,2,1,72.0,72.0,53.0,74.0,40.0,72.0,12,13,76,9,17,62.0,11,14,72,72,4,73
350000,2,1,73.0,73.0,65.0,67.0,33.0,79.0,25,25,66,25,36,0.0,25,25,76,84,4,72
220000,2,1,72.0,62.0,58.0,66.0,35.0,75.0,25,25,61,25,22,0.0,25,25,73,76,4,67
220000,2,1,72.0,62.0,58.0,66.0,35.0,75.0,25,25,61,25,22,0.0,25,25,73,76,4,68
220000,2,1,72.0,62.0,58.0,66.0,35.0,75.0,25,25,61,25,22,0.0,25,25,73,76,4,66
150000,1,1,72.0,62.0,58.0,66.0,35.0,75.0,10,10,60,10,21,40.0,10,14,72,75,4,67
150000,1,1,72.0,62.0,58.0,66.0,35.0,75.0,10,10,60,10,21,40.0,10,14,72,75,4,68
150000,1,1,72.0,62.0,58.0,66.0,35.0,75.0,10,10,60,10,21,40.0,10,14,72,75,4,66
40000,1,1,69.0,62.0,58.0,64.0,35.0,73.0,10,10,55,10,21,40.0,10,14,69,73,4,67
40000,1,1,69.0,62.0,58.0,64.0,35.0,73.0,10,10,55,10,21,40.0,10,14,69,73,4,68
40000,1,1,69.0,62.0,58.0,64.0,35.0,73.0,10,10,55,10,21,40.0,10,14,69,73,4,66
350000,2,1,75.0,70.0,69.0,73.0,50.0,73.0,25,25,70,25,42,0.0,25,25,76,74,4,72
350000,2,1,75.0,70.0,69.0,73.0,50.0,73.0,25,25,70,25,42,0.0,25,25,76,74,4,69
170000,2,1,70.0,67.0,69.0,62.0,35.0,72.0,13,11,65,5,35,57.0,12,13,73,72,4,72
170000,2,1,70.0,67.0,69.0,62.0,35.0,72.0,13,11,65,5,35,57.0,12,13,73,72,4,69
10000,1,1,42.0,46.0,46.0,48.0,32.0,62.0,14,24,58,12,33,26.0,12,13,42,62,4,51
875000,1,1,68.0,72.0,58.0,71.0,38.0,75.0,25,25,69,25,47,0.0,25,25,68,79,4,70
875000,1,1,68.0,72.0,58.0,71.0,38.0,75.0,25,25,69,25,47,0.0,25,25,68,79,4,71
875000,1,1,68.0,72.0,58.0,71.0,38.0,75.0,25,25,69,25,47,0.0,25,25,68,79,4,69
875000,1,1,68.0,72.0,58.0,71.0,38.0,75.0,25,25,69,25,47,0.0,25,25,68,79,4,71
950000,1,1,66.0,77.0,55.0,69.0,38.0,76.0,15,14,67,14,46,45.0,13,13,68,77,4,70
950000,1,1,66.0,77.0,55.0,69.0,38.0,76.0,15,14,67,14,46,45.0,13,13,68,77,4,71
950000,1,1,66.0,77.0,55.0,69.0,38.0,76.0,15,14,67,14,46,45.0,13,13,68,77,4,69
950000,1,1,66.0,77.0,55.0,69.0,38.0,76.0,15,14,67,14,46,45.0,13,13,68,77,4,71
140000,1,1,63.0,75.0,52.0,66.0,38.0,76.0,15,14,64,14,46,45.0,13,13,63,76,4,70
140000,1,1,63.0,75.0,52.0,66.0,38.0,76.0,15,14,64,14,46,45.0,13,13,63,76,4,71
140000,1,1,63.0,75.0,52.0,66.0,38.0,76.0,15,14,64,14,46,45.0,13,13,63,76,4,69
140000,1,1,63.0,75.0,52.0,66.0,38.0,76.0,15,14,64,14,46,45.0,13,13,63,76,4,71
160000,1,1,64.0,78.0,52.0,67.0,38.0,77.0,15,14,66,14,46,55.0,12,13,64,77,4,70
160000,1,1,64.0,78.0,52.0,67.0,38.0,77.0,15,14,66,14,46,55.0,12,13,64,77,4,71
160000,1,1,64.0,78.0,52.0,67.0,38.0,77.0,15,14,66,14,46,55.0,12,13,64,77,4,69
160000,1,1,64.0,78.0,52.0,67.0,38.0,77.0,15,14,66,14,46,55.0,12,13,64,77,4,71
725000,2,1,70.0,68.0,68.0,70.0,40.0,71.0,25,25,68,25,25,0.0,25,25,71,72,4,69
725000,2,1,70.0,68.0,68.0,70.0,40.0,71.0,25,25,68,25,25,0.0,25,25,71,72,4,70
725000,2,1,70.0,68.0,68.0,70.0,40.0,71.0,25,25,68,25,25,0.0,25,25,71,72,4,70
725000,2,1,70.0,68.0,68.0,70.0,40.0,71.0,25,25,68,25,25,0.0,25,25,71,72,4,67
725000,2,1,70.0,68.0,68.0,70.0,40.0,71.0,25,25,68,25,25,0.0,25,25,71,72,4,66
875000,1,1,70.0,68.0,68.0,70.0,40.0,71.0,20,12,67,11,24,42.0,19,14,70,71,4,69
875000,1,1,70.0,68.0,68.0,70.0,40.0,71.0,20,12,67,11,24,42.0,19,14,70,71,4,70
875000,1,1,70.0,68.0,68.0,70.0,40.0,71.0,20,12,67,11,24,42.0,19,14,70,71,4,70
875000,1,1,70.0,68.0,68.0,70.0,40.0,71.0,20,12,67,11,24,42.0,19,14,70,71,4,67
875000,1,1,70.0,68.0,68.0,70.0,40.0,71.0,20,12,67,11,24,42.0,19,14,70,71,4,66
425000,1,1,70.0,69.0,68.0,69.0,40.0,68.0,20,12,65,11,24,42.0,19,14,70,68,4,69
425000,1,1,70.0,69.0,68.0,69.0,40.0,68.0,20,12,65,11,24,42.0,19,14,70,68,4,70
425000,1,1,70.0,69.0,68.0,69.0,40.0,68.0,20,12,65,11,24,42.0,19,14,70,68,4,70
425000,1,1,70.0,69.0,68.0,69.0,40.0,68.0,20,12,65,11,24,42.0,19,14,70,68,4,67
425000,1,1,70.0,69.0,68.0,69.0,40.0,68.0,20,12,65,11,24,42.0,19,14,70,68,4,66
100000,1,1,66.0,70.0,65.0,64.0,40.0,68.0,20,12,63,11,24,48.0,15,14,66,68,4,69
100000,1,1,66.0,70.0,65.0,64.0,40.0,68.0,20,12,63,11,24,48.0,15,14,66,68,4,70
100000,1,1,66.0,70.0,65.0,64.0,40.0,68.0,20,12,63,11,24,48.0,15,14,66,68,4,70
100000,1,1,66.0,70.0,65.0,64.0,40.0,68.0,20,12,63,11,24,48.0,15,14,66,68,4,67
100000,1,1,66.0,70.0,65.0,64.0,40.0,68.0,20,12,63,11,24,48.0,15,14,66,68,4,66
70000,1,1,65.0,67.0,65.0,63.0,38.0,67.0,20,12,63,11,24,48.0,15,14,65,67,4,69
70000,1,1,65.0,67.0,65.0,63.0,38.0,67.0,20,12,63,11,24,48.0,15,14,65,67,4,70
70000,1,1,65.0,67.0,65.0,63.0,38.0,67.0,20,12,63,11,24,48.0,15,14,65,67,4,70
70000,1,1,65.0,67.0,65.0,63.0,38.0,67.0,20,12,63,11,24,48.0,15,14,65,67,4,67
70000,1,1,65.0,67.0,65.0,63.0,38.0,67.0,20,12,63,11,24,48.0,15,14,65,67,4,66
10000,1,1,36.0,54.0,36.0,32.0,25.0,58.0,25,25,38,25,39,0.0,25,25,37,59,4,44
10000,1,1,36.0,54.0,36.0,32.0,25.0,58.0,25,25,38,25,39,0.0,25,25,37,59,4,45
10000,1,1,36.0,54.0,36.0,32.0,25.0,58.0,25,25,38,25,39,0.0,25,25,37,59,4,46
10000,1,1,37.0,51.0,37.0,33.0,25.0,58.0,11,11,40,13,22,44.0,14,12,38,58,4,44
10000,1,1,37.0,51.0,37.0,33.0,25.0,58.0,11,11,40,13,22,44.0,14,12,38,58,4,45
10000,1,1,37.0,51.0,37.0,33.0,25.0,58.0,11,11,40,13,22,44.0,14,12,38,58,4,46
0,1,1,39.0,50.0,39.0,37.0,25.0,50.0,11,11,64,13,22,44.0,14,12,41,58,4,44
0,1,1,39.0,50.0,39.0,37.0,25.0,50.0,11,11,64,13,22,44.0,14,12,41,58,4,45
0,1,1,39.0,50.0,39.0,37.0,25.0,50.0,11,11,64,13,22,44.0,14,12,41,58,4,46
70000,1,1,61.0,55.0,60.0,51.0,36.0,57.0,25,25,52,25,25,0.0,25,25,62,58,4,56
70000,1,1,61.0,55.0,60.0,51.0,36.0,57.0,25,25,52,25,25,0.0,25,25,62,58,4,57
70000,1,1,61.0,55.0,60.0,51.0,36.0,57.0,25,25,52,25,25,0.0,25,25,62,58,4,57
70000,1,1,61.0,55.0,60.0,51.0,36.0,57.0,25,25,52,25,25,0.0,25,25,62,58,4,55
70000,1,1,61.0,55.0,60.0,51.0,36.0,57.0,20,13,51,16,17,55.0,15,11,61,57,4,56
70000,1,1,61.0,55.0,60.0,51.0,36.0,57.0,20,13,51,16,17,55.0,15,11,61,57,4,57
70000,1,1,61.0,55.0,60.0,51.0,36.0,57.0,20,13,51,16,17,55.0,15,11,61,57,4,57
70000,1,1,61.0,55.0,60.0,51.0,36.0,57.0,20,13,51,16,17,55.0,15,11,61,57,4,55
10000,1,1,61.0,55.0,60.0,51.0,36.0,57.0,20,13,51,16,17,55.0,15,11,61,57,4,56
10000,1,1,61.0,55.0,60.0,51.0,36.0,57.0,20,13,51,16,17,55.0,15,11,61,57,4,57
10000,1,1,61.0,55.0,60.0,51.0,36.0,57.0,20,13,51,16,17,55.0,15,11,61,57,4,57
10000,1,1,61.0,55.0,60.0,51.0,36.0,57.0,20,13,51,16,17,55.0,15,11,61,57,4,55
10000,1,1,59.0,52.0,58.0,49.0,35.0,55.0,20,13,51,16,17,55.0,19,11,59,55,4,56
10000,1,1,59.0,52.0,58.0,49.0,35.0,55.0,20,13,51,16,17,55.0,19,11,59,55,4,57
10000,1,1,59.0,52.0,58.0,49.0,35.0,55.0,20,13,51,16,17,55.0,19,11,59,55,4,57
10000,1,1,59.0,52.0,58.0,49.0,35.0,55.0,20,13,51,16,17,55.0,19,11,59,55,4,55
160000,1,1,68.0,58.0,59.0,59.0,48.0,60.0,25,25,59,25,25,0.0,25,25,72,61,4,61
160000,1,1,68.0,58.0,59.0,59.0,48.0,60.0,25,25,59,25,25,0.0,25,25,72,61,4,61
160000,1,1,68.0,58.0,59.0,59.0,48.0,60.0,25,25,59,25,25,0.0,25,25,72,61,4,57
150000,1,1,68.0,58.0,59.0,59.0,48.0,57.0,13,20,58,19,13,40.0,19,17,68,57,4,61
150000,1,1,68.0,58.0,59.0,59.0,48.0,57.0,13,20,58,19,13,40.0,19,17,68,57,4,61
150000,1,1,68.0,58.0,59.0,59.0,48.0,57.0,13,20,58,19,13,40.0,19,17,68,57,4,57
10000,1,1,57.0,56.0,57.0,56.0,48.0,56.0,13,20,58,19,13,40.0,20,17,65,56,4,61
10000,1,1,57.0,56.0,57.0,56.0,48.0,56.0,13,20,58,19,13,40.0,20,17,65,56,4,61
10000,1,1,57.0,56.0,57.0,56.0,48.0,56.0,13,20,58,19,13,40.0,20,17,65,56,4,57
10000,1,1,51.0,50.0,46.0,44.0,25.0,50.0,11,12,63,14,23,41.0,12,14,51,50,4,51
1100000,2,1,73.0,76.0,62.0,68.0,49.0,72.0,25,25,66,25,25,0.0,25,25,74,73,4,71
600000,2,1,67.0,68.0,78.0,65.0,41.0,73.0,20,18,74,14,13,64.0,11,19,67,73,4,70
1000000,2,1,76.0,74.0,70.0,74.0,50.0,78.0,25,25,69,25,29,0.0,25,25,80,79,4,74
1000000,2,1,76.0,74.0,70.0,74.0,50.0,78.0,25,25,69,25,29,0.0,25,25,80,79,4,76
1000000,2,1,76.0,74.0,70.0,74.0,50.0,78.0,25,25,69,25,29,0.0,25,25,80,79,4,75
1000000,2,1,76.0,74.0,70.0,74.0,50.0,78.0,25,25,69,25,29,0.0,25,25,80,79,4,76
900000,2,1,77.0,76.0,67.0,75.0,50.0,79.0,11,18,68,10,20,60.0,12,12,77,79,4,74
900000,2,1,77.0,76.0,67.0,75.0,50.0,79.0,11,18,68,10,20,60.0,12,12,77,79,4,76
900000,2,1,77.0,76.0,67.0,75.0,50.0,79.0,11,18,68,10,20,60.0,12,12,77,79,4,75
900000,2,1,77.0,76.0,67.0,75.0,50.0,79.0,11,18,68,10,20,60.0,12,12,77,79,4,76
